pid	cnname	enname
958	甘特	GANT	
398	索尼	SONY	
48	???	WENTEX	
49	喜来登		
46	梦洁	MENDALE	
47	卡文克莱	CALVIN KLEIN	
44	恐龙纺织	???	
45	以旺	???	
42	佳丽斯	jalice	
43	???	Casablanca	
40	???	JAGUAR	
41	???	Desfone	
638	悠游堂	???	
5	卡地亞	Cartier	
639	仙妮蕾德	???	
489	咖啡厅	???	
488	六号厅	???	
487	五号厅	???	
486	售票厅	???	
485	一号厅	???	
484	二号厅	???	
483	三号厅	???	
482	七号厅	???	
481	星巴克	Starbucks	
480	???	NIKE 360°	
955	高美高	comico	
472	傲胜	OSIM	
473	欧姆龙	OMRON	
470	亚都	YADU	
471	瑞而士健康屋	???	
476	亮视点	???	
477	???	J.LINDEBERG	
474	三和松石	SHSS	
475	便利电	???	
478	???	PAPA JOHNS	
479	萨萨	SASA	
