pid	cnname	enname
617	飞鸟和新酒/	avvn	
148	???	Marie n' Mary	
149	伊丝艾拉	YISELLE	
1007	???	Pandora	
912	???	MARELLA	
1006	登喜路	DUNHILL	
154	???	imi’s	
951	???	GASTONE LUCIOLI	
1005	阿玛尼	ARMANI	
194	???	FRANZ	
1004	???	Zegna Sport	
948	金利来	goldlion	
949	阿迪达斯洗护	Adidas	
946	兄妹猫		
947	月星	MOONSTAR	
944	???	canlemon	
945	惠葆		
942	兔皇		
943	蕾沃尔	???	
940	展台	???	
941	???	NATURINA	
768	迷你唐卡	Minnetonka	
689	巴黎春天家具	???	
688	纽约国际儿童俱乐部	???	
685	魔易艺术·家	???	
684	???	cosadimoda	
687	丽时美发	???	
686	巴贝拉	???	
681	招财猫	???	
680	嘟噜岛	???	
683	论道.竹叶青	???	
682	麻辣诱惑食品	???	
458	菲仕乐	Fissler	
459	威可多	VICUTU	
133	丹尼爱特	DANIEL HECHTER	
132	???	MELCHNER	
131	???	mister	
130	都彭	s.t.dupont	
137	???	Gormiti	
136	???	FENGFEI-Z	
135	伦敦雾	LONDON FOG	
134	艾蔻	AEEIKO	
494	谭木匠		
495	茶大爷	???	
496	品尚味烟酒屋	???	
497	履行者	???	
490	四号厅	???	
491	食通天美食广场	???	
492	华润堂	???	
493	亿莎		
24	白领	WHITE COLLAR	
25	???	OLIVER GRANT	
26	???	SONG OF SONG	
27	卡拉		
20	珂莱蒂尔	KORADIOR	
21	雅莹	elegant prosper	
22	阁兰秀	???	
23	宝姿	PORTS	
927	蔻驰	Coach	
28	???	Mozen	
29	音儿	YINER	
407	香奈儿	CHANEL	
406	卓诺迪	CERRUTI 1881	
405	英吉利那	Inglesina	
404		I-Baby	
403	中国联通	ChinaUnicom	
402	芙儿优	fueryou	
401	三星	SAMSUNG	
400	手机	???	
933	布兰施男鞋	???	
932		L'OCCITANE	
931	???	GHRISDIEN DENY	
930	???	BOSS SUNWEN	
937	???	ENZO	
452	利仁	liven	
409	欧泊莱	AUPRES	
408	茱莉蔻	JurLique	
453		BOSE	
1028	西贝伦	???	
758	???	mjuka	
1018	蓝豹	???	
379		SOSSE	
378	???	Massalati	
829	姑姑宴	???	
828	???	Paw in Paw	
1060	方太	Fotile	
371	???	KISSCAT	
370	蹀愫	???	
373	红香枫	???	
372	敦奴	Dunnu	
375	安·姬奥	AHNSIL	
374	???	mihana	
377	???	GAOPIN Golf	
376	???	LANCY	
708	???	NAIL STATION	
709	寿师傅餐厅	???	
704	海辰贝贝	???	
705	东方爱婴早教中心	???	
706	亚惠美食广场	???	
707	西树工房	???	
700	太平鸟	Peacebird	
618		D'ZZIT	
702	快乐琴弦	???	
703	小猪班纳	PEPCO	
393	常春藤	ivy house	
392	???	NIKE KIDS	
391	???	BOSS HUGO BOSS	
145	月星	MoonStar	
397	多样屋	TAYOHYA	
396	苹果	Apple	
395	???	Levi's Kids	
176	???	LA CLOVER	
82	当代商城会员俱乐部	???	
83	凤祥甜品	???	
80	拉比	labi baby	
81	鼎泰丰	???	
86	吉野家	???	
87	听雪轩茶坊	???	
84	怡优美	???	
85	坛子村韩国料理	???	
797	???	F.L≡dy	
796	朗姿	LANCY FROM25	
795	???	LIANG NUO	
794	安娜苏	ANNA SUI	
793	???	Rebecca	
792	???	Feraud	
791	???	HERRFURST	
790	???	Frienti	
799	应大	???	
798	???	AINTLUCK	
7	???	SAMSON	
170	赛斯特		
586	百家好	BASIC HOUSE	
587	思莱德	selected	
584	好比来	???	
585	满记甜品	???	
582	???	PACO PUBLIC	
583	锦瑟蓝	???	
580	苗乡楼	???	
581	???	JACKJONES	
588	泼泼龙俱乐部	???	
589	本色棉	Naturecolored	
245	利快		
244	利奥纳多	leonardo di gasun	
247	芭比	Barbie	
246	弗欧	WOLL	
241	左天奴	ZOTENO	
614	时尚殿堂美发沙龙	???	
243	???	CHRISDIEN DENY	
242	皇冠	Crown	
615	进巍美甲	???	
249	文具	???	
248	???	FisherPrice	
924	雪花秀	SULWHASOO	
970	悦木之源	origins	
925	周生生	ChowSangSang	
519	???	I DO	
