PID,Displayname,Tag1,Tag2,Phone,Story
1010012800020002,LANCEL,其他,箱包,,Lancel （兰姿） 是有着百年历史的法国箱包品牌，以它贵族化的设计理念，为彰显地位、亮明身份的人士源源不断地创造出款款新包。兰姿 (Lancel) 既保持了传统的风格，又使品牌更富有时代感。兰姿 (Lancel) 高雅时尚型主要以蟒纹、鸵鸟、鳄鱼等纹样为主
1010012800020003,万宝龙,其他,手表,,Montblanc International (GmbH) 万宝龙国际是历峰集团旗下位于德国的一家精品钢笔、手表与配件的制造商。以「白色六角星」商标作为识别。
1010012800020004,Cartier,其他,珠宝工艺品,,卡地亚（Cartier SA）是一间法国钟表及珠宝制造商，于1847年由Louis-Fran?ois Cartier在巴黎Rue Montorgueil 31号创办。1874年，其子亚法·卡地亚继承其管理权，由其孙子路易·卡地亚、皮尔·卡地亚与积斯·卡地亚将其发展成世界著名品牌。现为瑞士历峰集团（Compagnie Financière Richemont SA）下属公司。1904年曾为飞机师阿尔拔图·山度士·度门设计世界上首只戴在手腕的腕表——卡地亚山度士腕表 （Cartier Santos）。
1010012800020005,LANCEL,服装,箱包,,Lancel （兰姿） 是有着百年历史的法国箱包品牌，以它贵族化的设计理念，为彰显地位、亮明身份的人士源源不断地创造出款款新包。兰姿 (Lancel) 既保持了传统的风格，又使品牌更富有时代感。兰姿 (Lancel) 高雅时尚型主要以蟒纹、鸵鸟、鳄鱼等纹样为主
1010012800020006,SAMSON,服装,箱包,,
1010012800020007,TUMI,服装,箱包,,1975 年，当TUMI品牌的创始人Mr.Charlie Clifford作为美国和平部队的成员驻守南美洲期间，他以秘鲁神灵之名作为公司的名字。30年来，TUMI为各地终日奔波的人士提供近乎完美的旅行产品。到了今天，TUMI已经成为生产高档旅行系列、商务用品以及配件的领先者。它的成功有赖于坚持不懈的关注产品的设计理念、功能以及技术革新。
1010012800020008,CASIO,其他,钟表,,卡西欧品牌源于日本，创业之始是为计算机制造商的卡西欧计算机股份有限公司，现已发展拥有计算器、电子表、电子乐器、液晶电视等产品。这些产品帮助世界各地的人们获取信息、卡西欧的经营理概念是“贡献、创造”。 
1010012800020009,FESTINA,其他,钟表,,
1010012800020010,爱骏达,其他,钟表,,远于1850年，瑞士制表大师 ARRIGO ARGENTI 以精湛的珠宝工艺，融合钟表科技，铸造出精准的腕表，声明显赫
1010012800020011,ERNEST BOREL,其他,钟表,,
1010012800020012,Hamilton,其他,钟表,,
1010012800020013,西铁城,其他,钟表,,全球知名腕表品牌西铁城，以为全世界全体公民提供高档次的产品和高水准的服务为使命，希望通过“为市民所喜爱，为市民所亲近”的产品，为全人类的美好生活做贡献。作为一家庞大的跨国企业，西铁城集团在日本设有46家企业，日本海外设有64家分公司，全球合计110家分公司。一直以来，秉承永不止步的创新精神和不断向未来挑战的品牌理念，西铁城始终行进在国际腕表行业的领先地位。
1010012800020014,SULTANA,其他,钟表,,
1010012800020015,英纳格,其他,钟表,,英纳格（ENICAR）起源于1854年一家古老的瑞士钟表手工制造作坊。ENICAR的名字，便是由RACINE家族，将其姓名倒转过来写而得名，籍以代表其家族百年以来代代相传精湛工艺的优良传统。英纳格是瑞士钟表业历史上的重要始祖，早于1910年，英纳格所出产的陀表，因其精准度而备受推崇。1988年，英纳格被香港华明行收购，但依然在瑞士进行生产。
1010012800020016,MIDO,其他,钟表,,"美度表由George Schaeren于1918年在瑞士苏黎士创立。今天美度表公司总部坐落于瑞士Jura山脉中心的勒克勒尔(Le Locle)小镇。美度表的名字源于西班牙语“Yo mido”,意为“我衡量”。它意在制造一块能成为你亲密朋友的手表，美度表的制表哲学是永恒设计和实用功能相结合而不是追随潮流。旨在制造出一块拥有高品质的材料、精准的机芯并具有卓越防水性能可长时间拥有的手表。美度隶属于世界最大的手表制造和销售商—瑞士斯沃琪集团。主要分布在瑞士、法国、德国、意大利、美国、维尔京群岛、泰国、马来西亚和中国。"
1010012800020017,TITONI,其他,钟表,,远在1851年，精密制表工业便在瑞士格林肯萌芽发展。许多世界著名的表厂纷纷成立，为瑞士格林肯奠定了经济基础，TITONI梅花表便是其一。瑞士梅花表厂是典型的瑞士表厂，于1919年由史洛普家族在格林肯成立，相传三代，至今依然由史洛普家族所拥有及经营，是现今极少有的独立家族制表企业，为瑞士制表工业做出了极大的贡献。
1010012800020018,SWAROVSKI,其他,珠宝工艺品,,施华洛世奇 （SWAROVSKI）是世界上首屈一指的仿水晶制造商，每年为时装、首饰及水晶灯等工业提供大量优质的切割水晶石。同时施华洛世奇也是以优质、璀璨夺目和高度精确的仿水晶和相关产品闻名于世的仿水晶工艺品品牌。
1010012800020019,OMEGA,其他,钟表,,欧米茄（OMEGA）是国际著名制表企业和品牌，英文名omega，代表符号“Ω”。由路易士·勃兰特始创于1848 年，欧米茄标志着制表历史上的光辉成就，傲视同侪，相当精致
1010012800020020,RADO,其他,钟表,,
1010012800020021,TAGHEUER,其他,钟表,,
1010012800020022,LONGINES,其他,钟表,,浪琴（LONGINES）是一个由欧内斯特富兰西林在瑞士的圣艾米尔成立的公司。它的起源可以追述到19世纪30年代，浪琴还拥有最古老的表类注册商标（一个带翅膀的沙漏）。浪琴公司属于瑞士斯沃琪集团。浪琴以它的“飞行家”表而著名，是世界上高档名表之一。
1010012800020023,名士,其他,钟表,,名士，拥有183年历史，总部位于日内瓦的瑞士制表世家名士 (Baume & Mercier) 始终秉持 “唯美主义，只制造品质最上乘的腕表”的座右铭，坚持创作经典永恒的腕表系列，成为至臻完美的典范。作为入门级奢华腕表的代表品牌，名士与人们挚诚分享来自布鲁涅特 (Les Brenets) 制表工坊的品牌文化与制表技术，坚定不移地传达独特品牌理念：“凝聚珍贵时刻” (Life is about Moments)。
1010012800020024,Jean-Louis Scherrer,服装,男装,,
1010012800020025,Gieves & Hawkes,服装,男装,,GIEVES & HAWKES (君皇仕) 位于伦敦塞维尔街一号，是由两间公司 GIEVES 和 HAWKES 合并而成的英国男装奢侈品牌，二百多年来为英国及皇室提供服装服务。
1010012800020026,雅阁诗丹,服装,男装,,成立於1851年，来自英国伦敦的雅格狮丹是时装界永恒经典的象征。凭借优雅、时尚的服装设计及伟大的技术发明，雅格狮丹扬名国际，在时装界掀起革命。雅格狮丹以经典、优雅不凡的英伦风格、精致的工艺及优良的信誉而驰名世界。现为YGM贸易有限公司旗下品牌。
1010012800020027,巴达萨里,服装,男装,,
1010012800020028,GIVENCHY,服装,女装,,Givenchy，来自法国的时装品牌，纪梵希最初以香水为其主要产品，后开始涉足护肤及彩妆事业。该企业品牌在世界品牌实验室（World Brand Lab）编制的2006年度《世界品牌500强》排行榜中名列第四百一十一。
1010012800020029,ELIZABETH ARDEN,格化化妆,化妆品,,伊利莎白雅顿（Elizabeth Arden）在美容界享有很高的声誉，有人称雅顿为众香之巢—“美是自然和科学的结晶”。 雅顿的产品线包括护肤保养品、彩妆、香水等，雅顿不断攀升的业绩及来自世界各地的认同使它已成为一个全球知名的化妆品名牌。 Elizabeth Arden是1960年在美国建立的品牌，以香水为主，化妆品只占业务的一小部分。旗下除了Elizabeth Arden这个品牌以外，还有一个著名的香水品牌Elizabeth Taylor。
1010012800020030,PRCX,个护化妆,个人护理,,
1010012800020031,Sooryehan,个护化妆,化妆品,,
1010012800020032,CAMENAE,个护化妆,个人护理,,CAMENAE嘉媚乐自2003年面世以来，不断为消费者提供优质的精油产品，在精油护肤领域获得非凡的成绩，以品质赢得消费者的信赖和喜爱。嘉媚乐以“精油添加”为产品特色，是一个追求美丽，传播幸福的民族企业
1010012800020033,THETSAIO,个护化妆,个人护理,,
1010012800020034,Sisley,个护化妆,个人护理,,sisley诞生于充满浪漫气息的法国，在1976年由法国修伯特．多纳诺伯爵创立，以当时欧洲最新的植物美容学为基础，成功地研创出来的植物性护肤品牌。在全球都享有盛誉，是护肤品中尊贵与优雅的经典代表。sisley所有产品均以植物萃取精华与植物香精油作为主要成分，配以独特配方研制而成，并坚持产品在上市前必须经过300名皮肤科医师的测试，包装上必须名符其实地被许可标示“经过敏与敏感测试”及出自法国原厂。
1010012800020035,KOSE,个护化妆,化妆品,,初期以代理其他美容化妆品牌为主，1948年开始发展自己的品牌，由创办者小林孝三郎结合化学与药学人士于1946年创立
1010012800020036,佰草集,个护化妆,个人护理,,由于公司美加净、六神等大流通产品与佰草集、高夫等中高端细分化产品在批量、计划、采购、生产等方法迥异，而附加值高的后者发展迅速，因而家化在2009年对生产基地进行了重新规划和部署，采用两条供应链，中央工厂仅用于生产佰草集、高夫、双妹等产品。而从2009年开始，原中央工厂中大流通产品的生产逐步迁到吴江市黎里沪江日用化学品厂（下称“沪江日化”）为主的OEM工厂，主要为六神和美加净产品生产加工。
