1010011700060002	兰瑜珈
1010011700060003	美丽田园
1010011700060004	金鼎轩
1010011700060005	落院
1010011700060006	眉州东坡酒楼
1010011700060007	眉州东坡酒楼
1010011700060008	胡椒厨房
1010011700060009	巴厘泰
1010011700060010	胧月轩
1010011700060011	陈记火锅
1010011700060012	拿渡麻辣香锅
1010011700060013	私家小厨
1010011700060014	吉祥馄饨
1010011700060015	巴贝拉
1010011700060016	麻辣诱惑
1010011700060017	丝域美发
1010011700060018	外婆家
1010011700070000	陕面居
1010011700070001	九分仙芋
1010011700070002	吞云小莳
1010011700070003	权金城
1010011700070004	云海肴
1010011700070005	雅山布艺
1010011700070007	i转角
1010011700070008	将太无二
1010011700070009	黄记煌
1010011700070010	西提牛排
1010011700070011	眉州小吃
1010011700070012	海底捞火锅
1010011700070013	爱有梅有
1010011700080000	七号厅
1010011700080001	三号厅
1010011700080002	二号厅
1010011700080003	一号厅
1010011700080004	售票厅
1010011700080005	五号厅
1010011700080006	六号厅
1010011700080007	咖啡厅
1010011700080008	四号厅
1010011700090000	七号厅
1010011700090001	三号厅
1010011700090002	二号厅
1010011700090003	一号厅
1010011700090004	售票厅
1010011700090005	五号厅
1010011700090006	六号厅
1010011700090007	咖啡厅
1010011700090008	四号厅
