130533	威县	wx	36.9742	115.259	-5000
130534	清河县	qhx	37.0701	115.656	-5000
130535	临西县	lxx	36.8587	115.49	-5000
130581	南宫市	ngs	37.3592	115.38	-5000
130582	沙河市	shs	36.8581	114.488	-5000
130600	保定市	bds	38.8571	115.5	-5000
130602	新市区	xsq			-10000
130603	北市区	bsq			-10000
130604	南市区	nsq			-10000
130621	满城县	mcx	38.9477	115.316	-5000
130622	清苑县	qyx	38.7566	115.485	-5000
130623	涞水县	lsx	39.3917	115.708	-5000
130624	阜平县	fpx	38.8531	114.188	-5000
130625	徐水县	xsx	39.0194	115.657	-5000
130626	定兴县	dxx	39.2696	115.774	-5000
130627	唐县	tx	38.7415	114.969	-5000
130628	高阳县	gyx	38.6889	115.774	-5000
130629	容城县	rcx	39.0517	115.866	-5000
130630	涞源县	lyx	39.354	114.689	-5000
130631	望都县	wdx	38.7053	115.133	-5000
130632	安新县	axx	38.9252	115.928	-5000
130633	易县	yx	39.349	115.493	-5000
130634	曲阳县	qyx	38.6214	114.69	-5000
130635	蠡县	lx	38.4901	115.575	-5000
130636	顺平县	spx	38.8332	115.124	-10000
130637	博野县	byx	38.4576	115.459	-5000
130638	雄县	xx	38.9759	116.093	-5000
130681	涿州市	zzs	39.4872	115.968	-5000
130682	定州市	dzs	38.5201	114.975	-5000
130683	安国市	ags	38.4123	115.315	-10000
130684	高碑店市	gbds	39.3258	115.859	-10000
130700	张家口市	zjks	40.8174	114.879	-5000
130702	桥东区	qdq			-10000
130703	桥西区	qxq			-10000
130705	宣化区	xhq	40.614	115.054	-10000
130706	下花园区	xhyq	40.488	115.278	-10000
130721	宣化县	xhx	40.6104	115.051	-5000
130722	张北县	zbx	41.1555	114.713	-5000
130723	康保县	kbx	41.8487	114.604	-5000
130724	沽源县	gyx	41.6661	115.697	-5000
130725	尚义县	syx	41.0752	113.962	-5000
130726	蔚县	wx/yx	39.8405	114.569	-5000
130727	阳原县	yyx	40.1114	114.164	-5000
130728	怀安县	hax	40.6688	114.419	-5000
130729	万全县	wqx	40.7507	114.721	-5000
130730	怀来县	hlx	40.3977	115.511	-5000
130731	涿鹿县	zlx	40.3766	115.215	-5000
130732	赤城县	ccx	40.9135	115.814	-5000
130733	崇礼县	clx	40.9754	115.27	-5000
130800	承德市	cds/zds	40.9676	117.922	-5000
130802	双桥区	sqq			-10000
130803	双滦区	slq	40.95	117.734	-10000
130804	鹰手营子矿区	ysyzkq	40.549	117.649	-10000
130821	承德县	cdx/zdx	40.7584	118.157	-5000
130822	兴隆县	xlx	40.4121	117.491	-5000
130823	平泉县	pqx	41.0065	118.68	-5000
130824	滦平县	lpx	40.9289	117.332	-5000
130825	隆化县	lhx	41.3135	117.726	-5000
130826	丰宁满族自治县	fnmzzzx	41.203	116.64	-5000
130827	宽城满族自治县	kcmzzzx	40.5991	118.48	-5000
130828	围场满族蒙古族自治县	wcmzmgzzzx	41.9425	117.74	-5000
130900	沧州市	czs	38.3088	116.861	-5000
130902	新华区	xhq			-10000
130903	运河区	yhq			-10000
130921	沧县	cx	38.309	116.862	-5000
130922	青县	qx	38.5807	116.825	-5000
130923	东光县	dgx	37.8846	116.533	-5000
130924	海兴县	hxx	38.1353	117.498	-5000
130925	盐山县	ysx	38.0553	117.226	-5000
130926	肃宁县	snx	38.4318	115.832	-5000
130927	南皮县	npx	38.0376	116.697	-5000
130928	吴桥县	wqx	37.6267	116.384	-5000
130929	献县	xx	38.1907	116.115	-5000
130930	孟村回族自治县	mchzzzx	38.0562	117.098	-5000
130981	泊头市	bts/pts	38.0621	116.567	-5000
130982	任丘市	rqs	38.7077	116.09	-5000
